nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-09-26 03:59:50 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:25 ................................................... ~ 0s
  2025-09-26 04:02:26 ................................................... ~ 0s
  2025-09-26 04:02:26 ................................................... ~ 0s
  2025-09-26 04:02:46 ................................................... ~ 0s
  2025-09-26 04:02:46 ................................................... ~ 0s
  2025-09-26 04:02:56 ................................................... ~ 0s
  2025-09-26 04:02:56 ................................................... ~ 1s
  2025-09-26 04:02:56 ................................................... ~ 1s
  2025-09-26 04:02:57 ................................................... ~ 0s
  2025-09-26 04:02:57 ................................................... ~ 0s
  2025-09-26 04:02:57 ................................................... ~ 0s
  2025-09-26 04:02:59 ................................................... ~ 0s
  2025-09-26 04:02:59 ................................................... ~ 3s
  2025-09-26 04:03:02 ................................................... ~ 0s
  2025-09-26 04:03:02 ................................................... ~ 0s
  2025-09-26 04:03:02 ................................................... ~ 0s
  2025-09-26 04:03:02 ................................................... ~ 0s
  2025-09-26 04:03:03 ................................................... ~ 0s
  2025-09-26 04:03:03 ................................................... ~ 0s
  2025-09-26 04:03:03 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:03:07 ................................................... ~ 0s
  2025-09-26 04:03:07 ................................................... ~ 3s
  2025-09-26 04:03:16 ................................................... ~ 1s
  2025-09-26 04:03:17 ................................................... ~ 0s
  2025-09-26 04:03:17 ................................................... ~ 0s
  2025-09-26 04:03:17 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:23 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:24 ................................................... ~ 0s
  2025-09-26 04:03:26 ................................................... ~ 0s
  2025-09-26 04:03:26 ................................................... ~ 0s
  2025-09-26 04:03:30 ................................................... ~ 1s
